,Job_Title,Experience,Company,Scraping_Date,Salary,Location,Tags_Associated,Posting_Date
188,Hotel Manager,5-8 Yrs,Adhrit India!,09/09/2022,"2,50,000 - 3,50,000 PA.","Chennai(ECR), Vellore",marketing,9 Days Ago
189,Project Manager/Hotel/Goa/Marathi/Degree Holder Only,10-18 Yrs,Axis Ecorp Pvt. Ltd.  ,09/09/2022,"10,00,000 - 15,00,000 PA.",Panaji/Panjim,Hotel Projects,1 Day Ago
190,Front Office manager For Hotel Near Udaipur,10-15 Yrs,BTC,09/09/2022,"3,00,000 - 3,50,000 PA.",Udaipur,Receptionist Activities,3 Days Ago
191,Python Programming Language Application Developer,2-4 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Business process,2 Days Ago
192,Software Support Engineer | L3 | SQL | Application Programing Support,2-5 Yrs,Pitney Bowes (PBI),09/09/2022,"5,50,000 - 10,00,000 PA.",Pune,Application Deployment,7 Days Ago
193,Python Programming Language Application Developer,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Automation,2 Days Ago
194,Python Programming Language Application Developer,6-8 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Business process,4 Days Ago
195,Python Programming Language Application Developer,8-10 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Business process,4 Days Ago
196,Python Programming Language Application Developer,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Business process,4 Days Ago
197,Python Programming Language Application Developer,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Business process,4 Days Ago
198,Python Programming Language Application Developer,2-4 Yrs,Accenture,09/09/2022,Not disclosed,Pune,Performance tuning,4 Days Ago
199,Python Programming Language Application Developer,6-8 Yrs,Accenture,09/09/2022,Not disclosed,Gurgaon/Gurugram,Business process,4 Days Ago
200,Agile Program Management Application Lead,6-8 Yrs,Accenture,09/09/2022,Not disclosed,Mumbai,Project management,2 Days Ago
201,Application/sql Developer - Application Programming - .net/asp/vb/c#,5-10 Yrs,Confidential,09/09/2022,Not disclosed,Hyderabad/Secunderabad,C#,9 Days Ago
202,Program and Project Management Application Lead,8-10 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Change management,4 Days Ago
203,Visual Basic For Applications Programming Language Application Lead,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Chennai,Automation,4 Days Ago
204,Scala Programming Language Application Developer,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Pune,Maven,4 Days Ago
205,C Programming Language Application Developer,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Hyderabad/Secunderabad,Unix,3 Days Ago
206,Program and Project Management Application Tech Support Practitioner,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Access management,14 Days Ago
207,Program and Project Management Application Lead,8-10 Yrs,Accenture,09/09/2022,Not disclosed,Bangalore/Bengaluru,Change management,14 Days Ago
208,Android Application Development Program/Project Management Lead,4-6 Yrs,Accenture,09/09/2022,Not disclosed,Mumbai,Architecture,14 Days Ago
209,Infrastructure Program Control Services Application Developer,2-4 Yrs,Accenture,09/09/2022,Not disclosed,Mumbai,SOC,14 Days Ago
210,Visual Basic For Applications (vba) Programming Language - (mumbai),4-9 Yrs,2coms,09/09/2022,"4,75,000 - 9,75,000 PA.","Mumbai, Mumbai",VBA macro,Just Now
211,Full Stack Developer - Client & Server Side Architecture,1-3 Yrs,Beyond Root Technology Services,09/09/2022,Not disclosed,Chandigarh,HTML,13 Days Ago
212,Associate Lead Client Server Software Analyst,10-12 Yrs,TSYS,09/09/2022,Not disclosed,Pune,Unix,26 Days Ago
213,Associate Senior Client Server Software Analyst,4-5 Yrs,TSYS,09/09/2022,Not disclosed,Pune,Unix,26 Days Ago
214,Senior Client Server Software Analyst,5-8 Yrs,TSYS,09/09/2022,Not disclosed,Pune,Unix,30+ Days Ago
215,Senior Client Server Software Analyst,5-7 Yrs,TSYS,09/09/2022,Not disclosed,Pune,Unix,26 Days Ago
216,"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",4-6 Yrs,mStack Inc,09/09/2022,Not disclosed,Kochi,IT Skills,30+ Days Ago
217,"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",4-6 Yrs,mStack Inc,09/09/2022,Not disclosed,Kochi,MongoDB,30+ Days Ago
218,Full Stack Developer - Client & Server Side Architecture,1-3 Yrs,Beyond Root Technology Services,09/09/2022,Not disclosed,"Chandigarh, Others",AngularJS,27 Days Ago
219,Client Server Software Analyst,2-3 Yrs,TSYS,09/09/2022,Not disclosed,Pune,Unix,26 Days Ago
220,Full Stack Developer - Client & Server Side Architecture,2-7 Yrs,Resources Valley,09/09/2022,Not disclosed,Jaipur,Java,16 Days Ago
221,Client Server Analyst,0-1 Yrs,placement madad,09/09/2022,Not disclosed,Gurgaon,Bmc Remedy,30+ Days Ago
222,Server Administrator Required For Our MNC Client Immediately,4-7 Yrs,Swathi Business Solutions,09/09/2022,Not disclosed,Chennai,Installation,23 Days Ago
223,Dot Net Full stack Developer,6-10 Yrs,Cognizant,09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",.Net core,Few Hours Ago
224,"Administrator - Sppid,   Smart Plant Foundation (SPF)",5-10 Yrs,Tecnimont,09/09/2022,Not disclosed,Mumbai (All Areas),SPF,16 Days Ago
225,Eclipse Plugin Developer EMF RCP German MNC,4-6 Yrs,Valuable Consulting,09/09/2022,Not disclosed,"Coimbatore, Bangalore/Bengaluru",Eclipse,1 Day Ago
226,Urgent Hiring || Java Full Stack Developer || Wipro Limited,4-7 Yrs,Wipro,09/09/2022,Not disclosed,"Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Spring Boot,2 Days Ago
227,Mindtree is looking For Full stack Dot net developer,4-9 Yrs,Mindtree,09/09/2022,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",dot not core,2 Days Ago
228,Web Developer,2-4 Yrs,Elixir 360,09/09/2022,Not disclosed,Mumbai,Communication,30+ Days Ago
229,Tcs Urgently Hiring For  DWH - ETL Admin,5-10 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",ssas,Few Hours Ago
230,Oracle Database Administrator,5-10 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Kolkata, Bangalore/Bengaluru",oracle database,13 Days Ago
231,3950 - Oracle Database Administrator #,8-12 Yrs,Credit Suisse,09/09/2022,Not disclosed,"Pune, Pune",IT Skills,1 Day Ago
232,Oracle Database Administrator,4-9 Yrs,IBM,09/09/2022,Not disclosed,Mumbai,Unix,2 Days Ago
233,Oracle Database Administrator,6-11 Yrs,Oracle,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",oracle database,2 Days Ago
234,Application Database Administrator: Oracle Enterprise Applications,4-8 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Enterprise applications,14 Days Ago
235,Tcs is Hiring For DB2 Database Administrator- Pan India,8-12 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",DB2 DBA,3 Days Ago
236,"Senior Database Administrator (MY SQL, Oracle, Linux) 
",8-9 Yrs,ISON Technologies Pvt. Ltd.,09/09/2022,"7,00,000 - 8,50,000 PA.",Noida(Sector-62 Noida),Oracle Ccb,Today
237,"Excellent opportunity For Oracle DBA || C2H || WFO || 
 Gurgaon",4-5 Yrs,TeamLease,09/09/2022,"6,00,000 - 9,50,000 PA.",Gurgaon/Gurugram,Oracle,3 Days Ago
238,Oracle Database Administrator,4-8 Yrs,IBM,09/09/2022,Not disclosed,Mumbai,Unix,3 Days Ago
239,Excellent opportunity For Oracle DBA || C2H || WFO|| Gurgaon,2-3 Yrs,TeamLease,09/09/2022,"3,00,000 - 5,50,000 PA.",Gurgaon/Gurugram,Oracle,3 Days Ago
240,Oracle Database Administrator,4-8 Yrs,IBM,09/09/2022,Not disclosed,Mumbai,Unix,7 Days Ago
241,Oracle Database Administrator,3-8 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,Pan India,Oracle DBA,7 Days Ago
242,Oracle Database Administrator,8-13 Yrs,Oracle,09/09/2022,Not disclosed,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",Oracle DBA,12 Days Ago
243,Oracle Application Database Administrator,6-11 Yrs,Oracle,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",python,8 Days Ago
244,Oracle Database Administrator- Delhi ( Work from Office),3-8 Yrs,DCM Infotech,09/09/2022,"1,00,000 - 5,00,000 PA.",Delhi / NCR,Oracle DBA,1 Day Ago
245,Urgent Vaccancy For Oracle DBA || WFO || Bangalore || C2H,5-8 Yrs,TeamLease,09/09/2022,"8,00,000 - 12,00,000 PA.",Bangalore/Bengaluru,Oracle Database Administration,9 Days Ago
246,Tcs is Hiring For Oracle DBA,2-6 Yrs,TATA CONSULTANCY SERVICES (TCS),09/09/2022,Not disclosed,"Bangalore/Bengaluru, Mumbai (All Areas)",oracle rac,10 Days Ago
247,Oracle Database Administrator Specialist - RAC/ASM/Exadata,10-17 Yrs,Oracle,09/09/2022,"27,50,000 - 42,50,000 PA.","Noida, Pune, Bangalore/Bengaluru",High Availability,11 Days Ago
248,Project Manager(digital platforms/ Ecommerce domains),10-14 Yrs,Brillio,09/09/2022,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",ecommerce,1 Day Ago
249,Manager - Ecommerce,5-10 Yrs,Dr Batras,09/09/2022,Not disclosed,Mumbai(Sakinaka),Ecommerce Marketing,1 Day Ago
250,Amazon PPC ads associate (D2C/ Consumer Goods//Ecommerce),0-4 Yrs,The Indus Valley,09/09/2022,"3,00,000 - 3,75,000 PA.",Chennai,paid ads,7 Days Ago
251,Ecommerce Manager/Executive,1-6 Yrs,Food Summary,09/09/2022,"1,50,000 - 3,50,000 PA.",Delhi / NCR(Chattarpur),Ecommerce Marketing,10 Days Ago
252,Manager - App Marketing - Internet/Online/eCommerce,4-7 Yrs,Prime Infosoft,09/09/2022,Not disclosed,Bangalore/Bengaluru,App Marketing,2 Days Ago
253,Ecommerce / Digital Marketing Manager || Mumbai,2-5 Yrs,Scribble Scrolls,09/09/2022,Not disclosed,Mumbai (All Areas),Ad Campaigns,10 Days Ago
254,Application Developer: eCommerce,6-10 Yrs,IBM,09/09/2022,Not disclosed,Bangalore/Bengaluru,System testing,10 Days Ago
255,Ecommerce Manager/Executive,2-4 Yrs,Shiv Enterprises,09/09/2022,"2,50,000 - 3,50,000 PA.",New Delhi(East Patel Nagar +1),ecommerce manager,5 Days Ago
256,Pearson - Manager - eCommerce,4-8 Yrs,Pearson,09/09/2022,Not disclosed,"Noida, Bangalore/Bengaluru",eCommerce,10 Days Ago
257,Ecommerce Executive,1-3 Yrs,Redim Information Systems,09/09/2022,Not disclosed,Chennai,online marketing,2 Days Ago
258,Senior Product Manager - eCommerce,5-8 Yrs,Consult pro,09/09/2022,Not disclosed,"Mumbai, Bangalore, Gurgaon/Gurugram",Consumer Internet,3 Days Ago
259,Ecommerce Manager For EdTech Company based at Bangalore Yeshwantpur,7-12 Yrs,K12 Techno Services,09/09/2022,"7,00,000 - 14,00,000 PA.",Bangalore/Bengaluru,ecommerce manager,9 Days Ago
260,Senior Executive Ecommerce /Assistant Manager Ecommerce,2-6 Yrs,Nobel Hygiene,09/09/2022,Not disclosed,"Mumbai Suburban, Mumbai (All Areas)",Inventory Management,2 Days Ago
261,Digital Marketing Manager - Ecommerce,4-8 Yrs,REVENIVA INDIA LLP,09/09/2022,"3,25,000 - 6,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",digital marketing,8 Days Ago
262,Manager - ECommerce Brand Marketing,0-1 Yrs,P&G,09/09/2022,Not disclosed,Mumbai,Data analysis,30+ Days Ago
263,"Principal Consultant, ERP - Fusion Finance/ PPM",10-17 Yrs,Oracle,09/09/2022,Not disclosed,"Noida, Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Project Portfolio Management,Few Hours Ago
264,Package Consultant: Oracle ERP Financials,3-7 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Business process,1 Day Ago
265,Package Consultant: Oracle ERP Cloud Financials,12-15 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Procurement,14 Days Ago
266,Package Consultant: Oracle ERP Cloud Financials,10-12 Yrs,IBM,09/09/2022,Not disclosed,Kolkata,Supply chain,9 Days Ago
267,Hiring For Oracle EBS/ ERP Cloud Technical- F2F,5-9 Yrs,Randstad India Private Limited ,09/09/2022,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",EBS,2 Days Ago
268,Oracle ERP Finance Consultant (Functional),5-10 Yrs,Tech Elecon Pvt Limited ( Group company of Elecon Engineering Company Ltd.,09/09/2022,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Anand, Bangalore/Bengaluru, Vadodara",BI,14 Days Ago
269,Project Manager-Oracle Fusion/Oracle ERP (Functional Consultant),9-14 Yrs,Tesco,09/09/2022,Not disclosed,Bangalore/Bengaluru,Functional,2 Days Ago
270,ERP Functional Consultant-NetSuite(night shift),4-9 Yrs,Oracle,09/09/2022,"10,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru",Netsuite,9 Days Ago
271,Package Consultant: Oracle ERP Financials,3-7 Yrs,IBM,09/09/2022,Not disclosed,Gurgaon/Gurugram,Business process,4 Days Ago
